,Model,auc_train,Test AUC,nll_train,Test NLL,brier_train,Test Brier
0,DINA,0.8985604607072243,0.892765876241742,0.27368916507404534,0.27794206834702523,0.12835225611326956,0.13084874909478406
1,GDINA,0.9251330804331386,0.9042964718980361,0.24923495447269478,0.2679352979249164,0.10443923300550681,0.1178360966172186
2,HO-DINA,0.9124713843279522,0.902854811200487,0.2885422957595225,0.2958656307533163,0.11094333688488416,0.11678582588507691
3,MoLA,0.912166595350164,0.8913363956842217,0.33008818221059927,0.3300498646403322,0.11685329711766762,0.12736838006556842
